Article,Datum,Doublecheck Formula,Formula,Input data type,Input semantics,News-Orga,Position of user input in story,Response on user input,Topic,UI for user input,URL
Africa’s Energy Shortage Is Stalling Its Industrial Revolution,5. Dezember 2025,,,,,Bloomberg News,,,Klima/wetter/Energie/Umwelt,None,https://www.bloomberg.com/graphics/2025-jeffrey-epstein-emails-books/?srnd=phx-graphics-v2
Africa Needs 1 Billion Jobs by the End of the Century. Where Will It Find Them?,13. November 2025,,,,,Bloomberg News,,,Wirtschaft,None,https://www.bloomberg.com/graphics/2025-africa-population-jobs/?srnd=phx-graphics-v2
The True Cost of China’s Falling Prices,9. November 2025,,,,,Bloomberg News,,,Wirtschaft,None,https://www.bloomberg.com/graphics/2025-china-deflation-cost/?srnd=phx-graphics-v2
Bayer Weighs Roundup Exit as Cancer Legal Bill Nears $18 Billion,6. November 2025,,,,,Bloomberg News,,,Verbrechen/Konflikt,None,https://www.bloomberg.com/graphics/2025-pesticides-us-bayer-roundup/?srnd=phx-graphics-v2
There’s a $10 Trillion Antidote to Trump’s Climate Backlash,4. November 2025,,,,,Bloomberg News,,,Klima/wetter/Energie/Umwelt,None,https://www.bloomberg.com/graphics/2025-climate-tech-investments-data-emissions-energy-capacity/?srnd=phx-graphics-v2
Satellite Images Reveal Scale of Melissa Destruction in Jamaica,31. Oktober 2025,,,,,Bloomberg News,,,Klima/wetter/Energie/Umwelt,None,https://www.bloomberg.com/graphics/2025-jamaica-hurricane-melissa-damage/?srnd=phx-graphics-v2
No Cop on the Beat,30. Oktober 2025,,,,,Bloomberg News,,,"Gesellschaft, Verbrechen/Konflikt, Vermögen",None,https://www.bloomberg.com/graphics/2025-zombie-home-mortgage-debt-collection-investigation/?srnd=phx-graphics-v2
Europe’s Solar Boom Is Pushing Power Grids to The Limit,28. Oktober 2025,,,,,Bloomberg News,,,Klima/wetter/Energie/Umwelt,None,https://www.bloomberg.com/graphics/2025-europe-solar-power-boom/?srnd=phx-graphics-v2
Tracking Melissa’s Latest Path,30. Oktober 2025,,,,,Bloomberg News,,,Klima/wetter/Energie/Umwelt,None,https://www.bloomberg.com/graphics/2025-atlantic-hurricane-season/melissa/?srnd=phx-graphics-v2
Here’s Where NYC Mayoral Candidates Stand on Key Issues,24. Oktober 2025,,,,,Bloomberg News,,,Politik,None,https://www.bloomberg.com/graphics/2025-nyc-mayoral-election-candidates-issues/?srnd=phx-graphics-v2#migrants
"With a Ceasefire Struck, Gazans Ask ‘Who Will Be in Charge’",10. Oktober 2025,,,,,Bloomberg News,,,Krieg,None,https://www.bloomberg.com/graphics/2025-gaza-israel-ceasefire-peace-deal/?srnd=phx-graphics-v2
Calculate Your Gain Under the New SALT Cap,25. Juni 2025,,,"Numeric (continuous), category (nominal)","Economic Attributes, Simulation Parameter",Bloomberg News,Intro,Keine Auflösung,Steuerpolitik,"Button Based Input, Number Input",https://www.bloomberg.com/graphics/2025-salt-tax-deduction-calculator/?srnd=phx-graphics-v2
The Business School ROI Calculator 2025-26,16. September 2025,,,"Numeric (continuous), category (nominal)","Economic Attributes, Simulation Parameter",Bloomberg News,Intro,Annotation update,Bildung,"Autocomplete/Typeahead, Slider",https://www.bloomberg.com/graphics/mba-return-on-investment/?srnd=phx-graphics-v2
Pay Up or Move Out,6. Oktober 2025,,,,,Bloomberg News,,,Verbrechen/Konflikt,None,https://www.bloomberg.com/graphics/2025-zombie-debt-collectors-mortgage-loans/?srnd=phx-graphics-v2
A Wave of New Apartment Buildings Is Set to Take Over Midtown Manhattan,6. Oktober 2025,,,,,Bloomberg News,,,Stadt & Architektur,None,https://www.bloomberg.com/graphics/2025-nyc-midtown-office-conversions/?srnd=phx-graphics-v2
Texas Redistricting Case Could Reshape House Balance After 2026 Midterms,1. Oktober 2025,,,,,Bloomberg News,,,Politik,None,https://www.bloomberg.com/graphics/2025-texas-redistricting-map-congress-race/?srnd=phx-graphics-v2
AI Data Centers Are Sending Power Bills Soaring,30. September 2025,,,,,Bloomberg News,,,"Klima/wetter/Energie/Umwelt, Konsum/Verbraucher, Politik",None,https://www.bloomberg.com/graphics/2025-ai-data-centers-electricity-prices/?srnd=phx-graphics-v2
The Trillion-Dollar Race for European Money Management’s Future,23. September 2025,,,,,Bloomberg News,,,Wirtschaft,None,https://www.bloomberg.com/graphics/2025-europe-asset-management/?srnd=phx-graphics-v2
A New Script,23. September 2025,,,,,Bloomberg News,,,Kultur,None,https://www.bloomberg.com/graphics/2025-china-box-office/?srnd=phx-graphics-v2
Israel’s Grip on West Bank Erodes Viability of Palestinian State,17. September 2025,,,,,Bloomberg News,,,Krieg,None,https://www.bloomberg.com/graphics/2025-palestinian-statehood-west-bank-israeli-settlements/?srnd=phx-graphics-v2
Even New York City’s Wealthy Renters Can’t Avoid the Housing Crisis,12. September 2025,,,Geographic,Exploratory filtering,Bloomberg News,Mid,Local highlight of user input in visualization,Mieten & Wohnen,Autocomplete/Typeahead,https://www.bloomberg.com/graphics/2025-nyc-wealthy-renters-housing-crisis/?srnd=phx-graphics-v2
The New American Hustle: Dividends Over Day Jobs,4. September 2025,,,,,Bloomberg News,,,Vermögen,None,https://www.bloomberg.com/graphics/2025-gen-z-dividend-investing-etfs/?srnd=phx-graphics-v2
The Fix for Solar Power Blackouts Is Already Here,21. August 2025,,,,,Bloomberg News,,,Klima/wetter/Energie/Umwelt,None,https://www.bloomberg.com/features/2025-bottlenecks-blackouts-grid-stability-solar-wind/?srnd=phx-graphics-v2
NJ Transit Is NYC’s Least Reliable Commuter Rail — By a Long Shot,19. August 2025,,,,,Bloomberg News,,,Verkehr/Infrastruktur,None,https://www.bloomberg.com/graphics/2025-njtransit-major-delays/?srnd=phx-graphics-v2
How Gambling Sponsors Took Over the Premier League,15. August 2025,,,,,Bloomberg News,,,Sport,None,https://www.bloomberg.com/graphics/2025-premier-league-football-kit-sponsors/?srnd=phx-graphics-v2
Hedge Funds Flip on Green Energy and Start Betting Against Oil,10. August 2025,,,,,Bloomberg News,,,"Klima/wetter/Energie/Umwelt, Wirtschaft",None,https://www.bloomberg.com/news/features/2025-08-10/hedge-funds-shift-bets-on-oil-and-solar-stocks-in-energy-reversal?srnd=phx-graphics-v2
Universal Music and Hybe’s Global Girl Group Is Taking Off,7. August 2025,,,,,Bloomberg News,,,Kultur,None,https://www.bloomberg.com/graphics/pop-star-ranking/2025-august/universal-music-and-hybe-s-global-girl-group-is-taking-off.html?srnd=phx-graphics-v2
"The Options for Finding Iran’s Hidden Uranium: Attack, Negotiate, or Wait",5. August 2025,,,category (nominal),Simulation Parameter,Bloomberg News,Recurring,Story update,Krieg,Button Based Input,https://www.bloomberg.com/graphics/2025-us-iran-nuclear-strategy/?srnd=phx-graphics-v2
"Money, muscles and anxiety: why the manosphere clicked with young men - a visual deep dive",21. Oktober 2025,,,,,The Guardian,,,Gesellschaft,None,https://www.theguardian.com/technology/ng-interactive/2025/oct/21/why-the-manosphere-clicked-for-young-men-a-visual-deep-dive
"As countries scramble for minerals, the seabed beckons. Will mining it be a disaster? – visual explainer",12. März 2025,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/environment/ng-interactive/2025/mar/12/as-countries-scramble-for-minerals-the-seabed-beckons-will-mining-it-be-a-disaster-visual-explainer
https://www.theguardian.com/world/ng-interactive/2025/mar/05/shadow-fleets-subaquatic-sabotage-europe-undersea-internet-cables-under-attack,5. März 2025,,,,,The Guardian,,,Verbrechen/Konflikt,None,https://www.theguardian.com/world/ng-interactive/2025/mar/05/shadow-fleets-subaquatic-sabotage-europe-undersea-internet-cables-under-attack
What is ‘home’ now? A woman’s two-year search for safety in the ruins of Gaza,16. Dezember 2025,,,,,The Guardian,,,Krieg,None,https://www.theguardian.com/world/ng-interactive/2025/dec/16/what-is-home-now-a-womans-two-year-search-for-safety-in-the-ruins-of-gaza
"Money, muscles ans anxiety: why the manosphere clicked with young men - a visual deep dive",21. Oktober 2025,,,,,The Guardian,,,Gesellschaft,None,https://www.theguardian.com/technology/ng-interactive/2025/oct/21/why-the-manosphere-clicked-for-young-men-a-visual-deep-dive
"As countries scramble for minerals, the seabed beckons. Will mining it be a disaster? – visual explainer",12. März 2025,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/environment/ng-interactive/2025/mar/12/as-countries-scramble-for-minerals-the-seabed-beckons-will-mining-it-be-a-disaster-visual-explainer
‘Shadow fleets’ and subaquatic sabotage: are Europe’s undersea internet cables under attack?,5. März 2025,,,,,The Guardian,,,Verbrechen/Konflikt,None,https://www.theguardian.com/world/ng-interactive/2025/mar/05/shadow-fleets-subaquatic-sabotage-europe-undersea-internet-cables-under-attack
How war destroyed Gaza’s neighbourhoods – visual investigation,30. Januar 2024,,,,,The Guardian,,,Krieg,None,https://www.theguardian.com/world/ng-interactive/2024/jan/30/how-war-destroyed-gazas-neighbourhoods-visual-investigation
Twelve charts that show how Labour won by a landslide,5. Juli 2024,,,,,The Guardian,,,Politik,None,https://www.theguardian.com/politics/ng-interactive/2024/jul/05/eleven-charts-that-show-how-labour-won-by-a-landslide
Revealed: Sellafield nuclear site has leak that could pose risk to public,5. Dezember 2023,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/business/2023/dec/05/sellafield-nuclear-site-leak-could-pose-risk-to-public
Delcy Rodríguez strikes defiant tone but must walk tightrope as Venezuela’s interim leader,4. Januar 2026,,,,,The Guardian,,,Politik,None,https://www.theguardian.com/world/2026/jan/04/delcy-rodriguez-tightrope-venezuela-interim-leader
Abortion deserts: America’s new geography of access to care – mapped,24. Juni 2022,,,,,The Guardian,,,Gesundheit,None,https://www.theguardian.com/world/2022/jun/24/abortion-laws-by-state-map-clinics
The rise and fall of US enemies and allies in State of the Union speeches – a visual guide,2. März 2022,,,,,The Guardian,,,Politik,None,https://www.theguardian.com/us-news/2022/mar/02/biden-state-of-the-union-visualisation-russia-enemies
The long list of legal cases against Donald Trump,7. Februar 2022,,,,,The Guardian,,,Verbrechen/Konflikt,None,https://www.theguardian.com/us-news/ng-interactive/2022/feb/07/donald-trump-list-legal-cases
Covid-19 map of the US: latest cases state by state,20. Januar 2026,,,,,The Guardian,,,Gesundheit,None,https://www.theguardian.com/world/ng-interactive/2021/sep/02/covid-19-coronavirus-us-map-latest-cases-state-by-state
2025 was ICE’s deadliest year in two decades. Here are the 32 people who died in custody,4. Januar 2026,,,,,The Guardian,,,Verbrechen/Konflikt,None,https://www.theguardian.com/us-news/ng-interactive/2026/jan/04/ice-2025-deaths-timeline
How long will it take you to reach your savings goals for the new year? – calculator,6. Januar 2026,,S → I₁ → Au(I₁),"Binary, Numeric (continuous)","Behavior, Cost Parameter",The Guardian,Intro,Annotation update,Vermögen,"Button Based Input, Slider",https://www.theguardian.com/money/ng-interactive/2026/jan/06/new-year-resolutions-savings-goals-calculator
The LA wildfire victims still living in toxic homes: ‘We have nowhere else to go’,7. Januar 2026,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/us-news/ng-interactive/2026/jan/07/la-wildfire-victims-toxic-homes
The power switch: tracking Britain's record coal-free run,31. Mai 2019,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/environment/ng-interactive/2019/may/25/the-power-switch-tracking-britains-record-coal-free-run
" This article is more than 2 years old
Twelve European countries broke temperature records in 2022",10. Januar 2023,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/world/2023/jan/10/twelve-european-countries-broke-temperature-records-in-2022
"
 
           
           
           
            
            
            
           Revealed: air pollution may be damaging ‘every organ in the body’Revealed: air pollution may be damaging ‘every organ in the body’ 
           ",17. Mai 2019,,,,,The Guardian,,,Gesundheit,None,https://www.theguardian.com/environment/ng-interactive/2019/may/17/air-pollution-may-be-damaging-every-organ-and-cell-in-the-body-finds-global-review
Unacceptable’: how raw sewage has affected rivers in England and Wales – in maps,12. September 2023,,,,,The Guardian,,,Klima/wetter/Energie/Umwelt,None,https://www.theguardian.com/environment/ng-interactive/2023/sep/12/unacceptable-how-raw-sewage-has-affected-rivers-in-england-and-wales-in-maps
Evacuating Afghanistan: a visual guide to flights in and out of Kabul,27. August 2021,,,,,The Guardian,,,Krieg,None,https://www.theguardian.com/world/2021/aug/25/evacuating-afghanistan-a-visual-guide-to-flights-in-and-out-of-kabul
" This article is more than 4 years old
‘A reminder of what human beings can be capable of’: a journey to the sites of America’s forgotten race massacres",18. Dezember 2021,,,,,The Guardian,,,Verbrechen/Konflikt,None,https://www.theguardian.com/us-news/2021/dec/18/red-summer-race-massacres-bayete-ross-smith-interview
What constituency am I in? New boundary map for UK general election – and how changes may affect you,3. Juli 2024,,"S → (I₁, V₁z(I₁), V₁h(I₁)) → S",Geographic,Sociodemographic Attributes,The Guardian,Mid,"Annotation update, Local highlight of user input in visualization, Zoom-in existing visualization based on user input",Politik,"Autocomplete/Typeahead, Visual Object Selection",https://www.theguardian.com/politics/ng-interactive/2024/jul/03/what-constituency-am-i-in-boundary-changes-map-uk-general-election-2024-votes-postcode
